checking,duration,credit_history,purpose,credit_amount,savings,employment,installment_rate,personal_status,other_debtors,residence,property,age,other_installments,housing,existing_credits,job,dependents,telephone,foreign,target
>= 200 DM,6,Critical/other existing credits,New car,1323,100–500 DM,>=7 years,2,Male: divorced/separated,None,4,Car/other,28,None,Own,2,Skilled employee/official,2,Yes,Yes,Good
< 0 DM,24,Existing paid duly,New car,3123,<100 DM,<1 year,4,Female: divorced/separated/married,None,1,Building society/life insurance,27,None,Own,1,Skilled employee/official,1,None,Yes,Bad
< 0 DM,36,Existing paid duly,Used car,5493,<100 DM,>=7 years,2,Male: single,None,4,Unknown/no property,42,None,For free,1,Skilled employee/official,2,None,Yes,Good
>= 200 DM,9,Existing paid duly,Radio/TV,1126,100–500 DM,>=7 years,2,Male: divorced/separated,None,4,Real estate,49,None,Own,1,Skilled employee/official,1,None,Yes,Good
0–200 DM,24,Critical/other existing credits,Radio/TV,1216,100–500 DM,<1 year,4,Male: single,None,4,Unknown/no property,38,Bank,Own,2,Skilled employee/official,2,None,Yes,Bad
< 0 DM,24,Existing paid duly,New car,1207,<100 DM,<1 year,4,Female: divorced/separated/married,None,4,Building society/life insurance,24,None,Rent,1,Skilled employee/official,1,None,Yes,Bad
No checking account,10,Existing paid duly,New car,1309,Unknown/no savings,1–4 years,4,Male: single,Guarantor,4,Building society/life insurance,27,None,Own,1,Unskilled resident,1,None,Yes,Bad
>= 200 DM,15,Critical/other existing credits,Used car,2360,500–1000 DM,1–4 years,2,Male: single,None,2,Car/other,36,None,Own,1,Skilled employee/official,1,Yes,Yes,Good
0–200 DM,15,All paid,New car,6850,100–500 DM,Unemployed,1,Male: single,None,2,Building society/life insurance,34,None,Own,1,Management/self-employed/highly qualified,2,Yes,Yes,Bad
No checking account,24,Existing paid duly,Radio/TV,1413,<100 DM,1–4 years,4,Male: married/widowed,None,2,Building society/life insurance,28,None,Own,1,Skilled employee/official,1,None,Yes,Good
No checking account,39,Existing paid duly,Used car,8588,100–500 DM,>=7 years,4,Male: single,None,2,Car/other,45,None,Own,1,Management/self-employed/highly qualified,1,Yes,Yes,Good
< 0 DM,12,Existing paid duly,New car,759,<100 DM,4–7 years,4,Male: single,None,2,Real estate,26,None,Own,1,Skilled employee/official,1,None,Yes,Bad
No checking account,36,Existing paid duly,Used car,4686,<100 DM,1–4 years,2,Male: single,None,2,Unknown/no property,32,None,For free,1,Management/self-employed/highly qualified,1,Yes,Yes,Good
>= 200 DM,15,Existing paid duly,Business,2687,<100 DM,4–7 years,2,Male: single,None,4,Building society/life insurance,26,None,Rent,1,Skilled employee/official,1,Yes,Yes,Good
0–200 DM,12,Delay in past,Radio/TV,585,<100 DM,1–4 years,4,Male: married/widowed,Co-applicant,4,Real estate,20,None,Rent,2,Skilled employee/official,1,None,Yes,Good
No checking account,24,Existing paid duly,New car,2255,Unknown/no savings,<1 year,4,Male: single,None,1,Building society/life insurance,54,None,Own,1,Skilled employee/official,1,None,Yes,Good
< 0 DM,6,Critical/other existing credits,New car,609,<100 DM,4–7 years,4,Female: divorced/separated/married,None,3,Building society/life insurance,37,None,Own,2,Skilled employee/official,1,None,No,Good
< 0 DM,6,Critical/other existing credits,New car,1361,<100 DM,<1 year,2,Male: single,None,4,Real estate,40,None,Own,1,Unskilled resident,2,None,No,Good
No checking account,36,Critical/other existing credits,Furniture/equipment,7127,<100 DM,<1 year,2,Female: divorced/separated/married,None,4,Building society/life insurance,23,None,Rent,2,Skilled employee/official,1,Yes,Yes,Bad
< 0 DM,6,Existing paid duly,New car,1203,100–500 DM,>=7 years,3,Male: single,None,2,Building society/life insurance,43,None,Own,1,Skilled employee/official,1,Yes,Yes,Good
No checking account,6,Critical/other existing credits,Radio/TV,700,Unknown/no savings,>=7 years,4,Male: single,None,4,Unknown/no property,36,None,For free,2,Skilled employee/official,1,None,Yes,Good
No checking account,24,Critical/other existing credits,Repairs,5507,<100 DM,>=7 years,3,Male: single,None,4,Unknown/no property,44,None,For free,2,Skilled employee/official,1,None,Yes,Good
< 0 DM,18,Existing paid duly,Radio/TV,3190,<100 DM,1–4 years,2,Female: divorced/separated/married,None,2,Real estate,24,None,Own,1,Skilled employee/official,1,None,Yes,Bad
< 0 DM,48,No credits/all paid,Furniture/equipment,7119,<100 DM,1–4 years,3,Male: single,None,4,Unknown/no property,53,None,For free,2,Skilled employee/official,2,None,Yes,Bad
No checking account,24,Existing paid duly,Used car,3488,100–500 DM,4–7 years,3,Female: divorced/separated/married,None,4,Car/other,23,None,Own,1,Skilled employee/official,1,None,Yes,Good
0–200 DM,18,Existing paid duly,Radio/TV,1113,<100 DM,1–4 years,4,Female: divorced/separated/married,Guarantor,4,Real estate,26,None,Own,1,Unskilled resident,2,None,Yes,Good
0–200 DM,26,Existing paid duly,Used car,7966,<100 DM,<1 year,2,Male: single,None,3,Car/other,30,None,Own,2,Skilled employee/official,1,None,Yes,Good
No checking account,15,Critical/other existing credits,Education,1532,100–500 DM,1–4 years,4,Female: divorced/separated/married,None,3,Car/other,31,None,Own,1,Skilled employee/official,1,None,Yes,Good
No checking account,4,Critical/other existing credits,Radio/TV,1503,<100 DM,4–7 years,2,Male: single,None,1,Real estate,42,None,Own,2,Unskilled resident,2,None,Yes,Good
< 0 DM,36,Existing paid duly,Radio/TV,2302,<100 DM,1–4 years,4,Male: divorced/separated,None,4,Car/other,31,None,Rent,1,Skilled employee/official,1,None,Yes,Bad
< 0 DM,6,Existing paid duly,New car,662,<100 DM,<1 year,3,Male: single,None,4,Real estate,41,None,Own,1,Unskilled resident,2,Yes,Yes,Good
0–200 DM,36,Existing paid duly,Education,2273,<100 DM,4–7 years,3,Male: single,None,1,Car/other,32,None,Own,2,Skilled employee/official,2,None,Yes,Good
0–200 DM,15,Existing paid duly,New car,2631,100–500 DM,1–4 years,2,Female: divorced/separated/married,None,4,Car/other,28,None,Rent,2,Skilled employee/official,1,Yes,Yes,Bad
No checking account,12,Delay in past,Used car,1503,<100 DM,1–4 years,4,Male: married/widowed,None,4,Real estate,41,None,Rent,1,Skilled employee/official,1,None,Yes,Good
No checking account,24,Existing paid duly,Radio/TV,1311,100–500 DM,4–7 years,4,Male: married/widowed,None,3,Building society/life insurance,26,None,Own,1,Skilled employee/official,1,Yes,Yes,Good
No checking account,24,Existing paid duly,Radio/TV,3105,Unknown/no savings,<1 year,4,Male: single,None,2,Car/other,25,None,Own,2,Skilled employee/official,1,None,Yes,Good
>= 200 DM,21,Critical/other existing credits,Education,2319,<100 DM,<1 year,2,Male: divorced/separated,None,1,Car/other,33,None,Rent,1,Skilled employee/official,1,None,Yes,Bad
< 0 DM,6,Existing paid duly,New car,1374,Unknown/no savings,Unemployed,4,Female: divorced/separated/married,None,3,Building society/life insurance,75,None,Own,1,Management/self-employed/highly qualified,1,Yes,Yes,Good
0–200 DM,18,Critical/other existing credits,Furniture/equipment,3612,<100 DM,>=7 years,3,Female: divorced/separated/married,None,4,Building society/life insurance,37,None,Own,1,Skilled employee/official,1,Yes,Yes,Good
< 0 DM,48,Existing paid duly,New car,7763,<100 DM,>=7 years,4,Male: single,None,4,Unknown/no property,42,Bank,For free,1,Management/self-employed/highly qualified,1,None,Yes,Bad
>= 200 DM,18,Existing paid duly,Furniture/equipment,3049,<100 DM,<1 year,1,Female: divorced/separated/married,None,1,Building society/life insurance,45,Stores,Own,1,Unskilled resident,1,None,Yes,Good
0–200 DM,12,Existing paid duly,Radio/TV,1534,<100 DM,<1 year,1,Male: married/widowed,None,1,Real estate,23,None,Rent,1,Skilled employee/official,1,None,Yes,Bad
No checking account,24,Delay in past,New car,2032,<100 DM,>=7 years,4,Male: single,None,4,Unknown/no property,60,None,For free,2,Skilled employee/official,1,Yes,Yes,Good
< 0 DM,30,Existing paid duly,Furniture/equipment,6350,Unknown/no savings,>=7 years,4,Male: single,None,4,Building society/life insurance,31,None,Own,1,Skilled employee/official,1,None,Yes,Bad
>= 200 DM,18,Existing paid duly,Furniture/equipment,2864,<100 DM,1–4 years,2,Male: single,None,1,Real estate,34,None,Own,1,Unskilled resident,2,None,Yes,Bad
No checking account,12,Critical/other existing credits,New car,1255,<100 DM,>=7 years,4,Male: single,None,4,Real estate,61,None,Own,2,Unskilled resident,1,None,Yes,Good
< 0 DM,24,Delay in past,New car,1333,<100 DM,Unemployed,4,Male: single,None,2,Real estate,43,None,For free,2,Skilled employee/official,2,None,Yes,Bad
No checking account,24,Critical/other existing credits,New car,2022,<100 DM,1–4 years,4,Female: divorced/separated/married,None,4,Car/other,37,None,Own,1,Skilled employee/official,1,Yes,Yes,Good
No checking account,24,Existing paid duly,Radio/TV,1552,<100 DM,4–7 years,3,Male: single,None,1,Car/other,32,Bank,Own,1,Skilled employee/official,2,None,Yes,Good
< 0 DM,12,All paid,Radio/TV,626,<100 DM,1–4 years,4,Female: divorced/separated/married,None,4,Real estate,24,Bank,Own,1,Unskilled resident,1,None,Yes,Bad
No checking account,48,Critical/other existing credits,Used car,8858,Unknown/no savings,4–7 years,2,Male: single,None,1,Unknown/no property,35,None,For free,2,Skilled employee/official,1,Yes,Yes,Good
No checking account,12,Critical/other existing credits,Repairs,996,Unknown/no savings,4–7 years,4,Female: divorced/separated/married,None,4,Real estate,23,None,Own,2,Skilled employee/official,1,None,Yes,Good
No checking account,6,All paid,Radio/TV,1750,500–1000 DM,>=7 years,2,Male: single,None,4,Building society/life insurance,45,Bank,Own,1,Unskilled resident,2,None,Yes,Good
< 0 DM,48,Existing paid duly,Radio/TV,6999,<100 DM,4–7 years,1,Male: married/widowed,Guarantor,1,Real estate,34,None,Own,2,Skilled employee/official,1,Yes,Yes,Bad
0–200 DM,12,Critical/other existing credits,New car,1995,100–500 DM,<1 year,4,Male: single,None,1,Car/other,27,None,Own,1,Skilled employee/official,1,None,Yes,Good
0–200 DM,9,Existing paid duly,Education,1199,<100 DM,4–7 years,4,Female: divorced/separated/married,None,4,Building society/life insurance,67,None,Own,2,Management/self-employed/highly qualified,1,Yes,Yes,Good
0–200 DM,12,Existing paid duly,Radio/TV,1331,<100 DM,<1 year,2,Male: single,None,1,Car/other,22,Stores,Own,1,Skilled employee/official,1,None,Yes,Bad
0–200 DM,18,No credits/all paid,New car,2278,100–500 DM,<1 year,3,Female: divorced/separated/married,None,3,Car/other,28,None,Own,2,Skilled employee/official,1,None,Yes,Bad
No checking account,21,No credits/all paid,New car,5003,Unknown/no savings,1–4 years,1,Female: divorced/separated/married,None,4,Building society/life insurance,29,Bank,Own,2,Skilled employee/official,1,Yes,Yes,Bad
< 0 DM,24,All paid,Furniture/equipment,3552,<100 DM,4–7 years,3,Male: single,None,4,Car/other,27,Bank,Own,1,Skilled employee/official,1,None,Yes,Bad
0–200 DM,18,Critical/other existing credits,Furniture/equipment,1928,<100 DM,<1 year,2,Male: single,None,2,Real estate,31,None,Own,2,Unskilled resident,1,None,Yes,Bad
< 0 DM,24,Existing paid duly,Used car,2964,Unknown/no savings,>=7 years,4,Male: single,None,4,Unknown/no property,49,Bank,For free,1,Skilled employee/official,2,Yes,Yes,Good
< 0 DM,24,All paid,Radio/TV,1546,<100 DM,4–7 years,4,Male: single,Guarantor,4,Car/other,24,Bank,Rent,1,Unskilled resident,1,None,Yes,Bad
>= 200 DM,6,Delay in past,Radio/TV,683,<100 DM,<1 year,2,Female: divorced/separated/married,None,1,Building society/life insurance,29,Bank,Own,1,Skilled employee/official,1,None,Yes,Good
0–200 DM,36,Existing paid duly,New car,12389,Unknown/no savings,1–4 years,1,Male: single,None,4,Unknown/no property,37,None,For free,1,Skilled employee/official,1,Yes,Yes,Bad
0–200 DM,24,Delay in past,Business,4712,Unknown/no savings,1–4 years,4,Male: single,None,2,Building society/life insurance,37,Bank,Own,2,Management/self-employed/highly qualified,1,Yes,Yes,Good
0–200 DM,24,Delay in past,Radio/TV,1553,100–500 DM,4–7 years,3,Female: divorced/separated/married,None,2,Building society/life insurance,23,None,Rent,2,Skilled employee/official,1,Yes,Yes,Good
< 0 DM,12,Existing paid duly,New car,1372,<100 DM,4–7 years,2,Male: divorced/separated,None,3,Car/other,36,None,Own,1,Skilled employee/official,1,None,Yes,Bad
No checking account,24,Critical/other existing credits,Radio/TV,2578,>=1000 DM,>=7 years,2,Male: single,None,2,Car/other,34,None,Own,1,Skilled employee/official,1,None,Yes,Good
0–200 DM,48,Existing paid duly,Radio/TV,3979,Unknown/no savings,4–7 years,4,Male: single,None,1,Car/other,41,None,Own,2,Skilled employee/official,2,Yes,Yes,Good
< 0 DM,48,Existing paid duly,Radio/TV,6758,<100 DM,1–4 years,3,Female: divorced/separated/married,None,2,Car/other,31,None,Own,1,Skilled employee/official,1,Yes,Yes,Bad
< 0 DM,24,Existing paid duly,Furniture/equipment,3234,<100 DM,<1 year,4,Female: divorced/separated/married,None,4,Real estate,23,None,Rent,1,Unskilled resident,1,Yes,Yes,Bad
No checking account,30,Critical/other existing credits,Radio/TV,5954,<100 DM,4–7 years,3,Male: single,Co-applicant,2,Car/other,38,None,Own,1,Skilled employee/official,1,None,Yes,Good
No checking account,24,Existing paid duly,Used car,5433,Unknown/no savings,Unemployed,2,Female: divorced/separated/married,None,4,Building society/life insurance,26,None,Rent,1,Management/self-employed/highly qualified,1,Yes,Yes,Good
< 0 DM,15,Existing paid duly,Business,806,<100 DM,1–4 years,4,Female: divorced/separated/married,None,4,Building society/life insurance,22,None,Own,1,Unskilled resident,1,None,Yes,Good
0–200 DM,9,Existing paid duly,Radio/TV,1082,<100 DM,>=7 years,4,Male: single,None,4,Car/other,27,None,Own,2,Unskilled resident,1,None,Yes,Good
No checking account,15,Critical/other existing credits,Furniture/equipment,2788,<100 DM,4–7 years,2,Female: divorced/separated/married,Co-applicant,3,Car/other,24,Bank,Own,2,Skilled employee/official,1,None,Yes,Good
0–200 DM,12,Existing paid duly,Radio/TV,2930,<100 DM,4–7 years,2,Female: divorced/separated/married,None,1,Real estate,27,None,Own,1,Skilled employee/official,1,None,Yes,Good
No checking account,24,Critical/other existing credits,Education,1927,Unknown/no savings,1–4 years,3,Female: divorced/separated/married,None,2,Car/other,33,None,Own,2,Skilled employee/official,1,Yes,Yes,Good
0–200 DM,36,Critical/other existing credits,New car,2820,<100 DM,<1 year,4,Male: divorced/separated,None,4,Car/other,27,None,Own,2,Skilled employee/official,1,None,Yes,Bad
No checking account,24,Existing paid duly,Retraining,937,<100 DM,<1 year,4,Male: married/widowed,None,3,Car/other,27,None,Own,2,Unskilled resident,1,None,Yes,Good
0–200 DM,18,Critical/other existing credits,New car,1056,<100 DM,>=7 years,3,Male: single,Guarantor,3,Real estate,30,Bank,Own,2,Skilled employee/official,1,None,Yes,Bad
0–200 DM,12,Critical/other existing credits,New car,3124,<100 DM,<1 year,1,Male: single,None,3,Real estate,49,Bank,Own,2,Unskilled resident,2,None,Yes,Good
No checking account,9,Existing paid duly,Furniture/equipment,1388,<100 DM,1–4 years,4,Female: divorced/separated/married,None,2,Real estate,26,None,Rent,1,Skilled employee/official,1,None,Yes,Good
0–200 DM,36,Existing paid duly,Repairs,2384,<100 DM,<1 year,4,Male: single,None,1,Unknown/no property,33,None,Rent,1,Unskilled resident,1,None,Yes,Bad
No checking account,12,Existing paid duly,New car,2133,Unknown/no savings,>=7 years,4,Female: divorced/separated/married,None,4,Unknown/no property,52,None,For free,1,Management/self-employed/highly qualified,1,Yes,Yes,Good
< 0 DM,18,Existing paid duly,Furniture/equipment,2039,<100 DM,1–4 years,1,Female: divorced/separated/married,None,4,Real estate,20,Bank,Rent,1,Skilled employee/official,1,None,Yes,Bad
< 0 DM,9,Critical/other existing credits,New car,2799,<100 DM,1–4 years,2,Male: single,None,2,Real estate,36,None,Rent,2,Skilled employee/official,2,None,Yes,Good
< 0 DM,12,Existing paid duly,Furniture/equipment,1289,<100 DM,1–4 years,4,Male: single,Guarantor,1,Building society/life insurance,21,None,Own,1,Unskilled resident,1,None,Yes,Good
< 0 DM,18,Existing paid duly,Domestic appliances,1217,<100 DM,1–4 years,4,Male: married/widowed,None,3,Real estate,47,None,Own,1,Unskilled resident,1,Yes,Yes,Bad
< 0 DM,12,Critical/other existing credits,Furniture/equipment,2246,<100 DM,>=7 years,3,Male: single,None,3,Building society/life insurance,60,None,Own,2,Skilled employee/official,1,None,Yes,Bad
< 0 DM,12,Critical/other existing credits,Radio/TV,385,<100 DM,4–7 years,4,Female: divorced/separated/married,None,3,Real estate,58,None,Own,4,Unskilled resident,1,Yes,Yes,Good
0–200 DM,24,Delay in past,New car,1965,Unknown/no savings,1–4 years,4,Female: divorced/separated/married,None,4,Car/other,42,None,Rent,2,Skilled employee/official,1,Yes,Yes,Good
No checking account,21,Existing paid duly,Business,1572,>=1000 DM,>=7 years,4,Female: divorced/separated/married,None,4,Real estate,36,Bank,Own,1,Unskilled resident,1,None,Yes,Good
0–200 DM,24,Existing paid duly,New car,2718,<100 DM,1–4 years,3,Female: divorced/separated/married,None,4,Building society/life insurance,20,None,Rent,1,Unskilled resident,1,Yes,Yes,Bad
< 0 DM,24,All paid,Other,1358,Unknown/no savings,>=7 years,4,Male: single,None,3,Car/other,40,Stores,Own,1,Management/self-employed/highly qualified,1,Yes,Yes,Bad
0–200 DM,6,All paid,New car,931,100–500 DM,<1 year,1,Female: divorced/separated/married,None,1,Building society/life insurance,32,Stores,Own,1,Unskilled resident,1,None,Yes,Bad
< 0 DM,24,Existing paid duly,New car,1442,<100 DM,4–7 years,4,Female: divorced/separated/married,None,4,Car/other,23,None,Rent,2,Skilled employee/official,1,None,Yes,Bad
0–200 DM,24,No credits/all paid,Business,4241,<100 DM,1–4 years,1,Male: single,None,4,Real estate,36,None,Own,3,Unskilled resident,1,Yes,Yes,Bad
No checking account,18,Critical/other existing credits,New car,2775,<100 DM,4–7 years,2,Male: single,None,2,Building society/life insurance,31,Bank,Own,2,Skilled employee/official,1,None,Yes,Bad
No checking account,24,Delay in past,Business,3863,<100 DM,1–4 years,1,Male: single,None,2,Unknown/no property,32,None,For free,1,Skilled employee/official,1,None,Yes,Good
0–200 DM,7,Existing paid duly,Radio/TV,2329,<100 DM,<1 year,1,Female: divorced/separated/married,Guarantor,1,Real estate,45,None,Own,1,Skilled employee/official,1,None,Yes,Good
0–200 DM,9,Existing paid duly,Furniture/equipment,918,<100 DM,1–4 years,4,Female: divorced/separated/married,None,1,Building society/life insurance,30,None,Own,1,Skilled employee/official,1,None,Yes,Bad
0–200 DM,24,All paid,Education,1837,<100 DM,4–7 years,4,Female: divorced/separated/married,None,4,Unknown/no property,34,Bank,For free,1,Unskilled resident,1,None,Yes,Bad
No checking account,36,Existing paid duly,Furniture/equipment,3349,<100 DM,1–4 years,4,Female: divorced/separated/married,None,2,Car/other,28,None,Own,1,Management/self-employed/highly qualified,1,Yes,Yes,Bad
>= 200 DM,10,Existing paid duly,Furniture/equipment,1275,<100 DM,<1 year,4,Female: divorced/separated/married,None,2,Building society/life insurance,23,None,Own,1,Skilled employee/official,1,None,Yes,Good
< 0 DM,24,All paid,Furniture/equipment,2828,500–1000 DM,1–4 years,4,Male: single,None,4,Real estate,22,Stores,Own,1,Skilled employee/official,1,Yes,Yes,Good
No checking account,24,Critical/other existing credits,Business,4526,<100 DM,1–4 years,3,Male: single,None,2,Real estate,74,None,Own,1,Management/self-employed/highly qualified,1,Yes,Yes,Good
0–200 DM,36,Existing paid duly,Radio/TV,2671,100–500 DM,1–4 years,4,Female: divorced/separated/married,Co-applicant,4,Unknown/no property,50,None,For free,1,Skilled employee/official,1,None,Yes,Bad
No checking account,18,Existing paid duly,Radio/TV,2051,<100 DM,<1 year,4,Male: single,None,1,Real estate,33,None,Own,1,Skilled employee/official,1,None,Yes,Good
No checking account,15,Existing paid duly,Used car,1300,Unknown/no savings,>=7 years,4,Male: single,None,4,Unknown/no property,45,Bank,For free,1,Skilled employee/official,2,None,Yes,Good
< 0 DM,12,Existing paid duly,Domestic appliances,741,100–500 DM,Unemployed,4,Female: divorced/separated/married,None,3,Building society/life insurance,22,None,Own,1,Skilled employee/official,1,None,Yes,Bad
>= 200 DM,10,Existing paid duly,New car,1240,100–500 DM,>=7 years,1,Female: divorced/separated/married,None,4,Unknown/no property,48,None,For free,1,Unskilled resident,2,None,Yes,Bad
< 0 DM,21,Existing paid duly,Radio/TV,3357,>=1000 DM,<1 year,4,Female: divorced/separated/married,None,2,Car/other,29,Bank,Own,1,Skilled employee/official,1,None,Yes,Good
< 0 DM,24,All paid,Used car,3632,<100 DM,1–4 years,1,Female: divorced/separated/married,Guarantor,4,Car/other,22,Bank,Rent,1,Skilled employee/official,1,None,No,Good
No checking account,18,Delay in past,Furniture/equipment,1808,<100 DM,4–7 years,4,Female: divorced/separated/married,None,1,Real estate,22,None,Own,1,Skilled employee/official,1,None,Yes,Bad
0–200 DM,48,No credits/all paid,Business,12204,Unknown/no savings,1–4 years,2,Male: single,None,2,Car/other,48,Bank,Own,1,Management/self-employed/highly qualified,1,Yes,Yes,Good
0–200 DM,60,Delay in past,Radio/TV,9157,Unknown/no savings,1–4 years,2,Male: single,None,2,Unknown/no property,27,None,For free,1,Management/self-employed/highly qualified,1,None,Yes,Good
< 0 DM,6,Critical/other existing credits,New car,3676,<100 DM,1–4 years,1,Male: single,None,3,Real estate,37,None,Rent,3,Skilled employee/official,2,None,Yes,Good
0–200 DM,30,Existing paid duly,Furniture/equipment,3441,100–500 DM,1–4 years,2,Female: divorced/separated/married,Co-applicant,4,Car/other,21,None,Rent,1,Skilled employee/official,1,None,Yes,Bad
No checking account,12,Existing paid duly,New car,640,<100 DM,1–4 years,4,Male: divorced/separated,None,2,Real estate,49,None,Own,1,Unskilled resident,1,None,Yes,Good
0–200 DM,21,Critical/other existing credits,Business,3652,<100 DM,4–7 years,2,Male: single,None,3,Building society/life insurance,27,None,Own,2,Skilled employee/official,1,None,Yes,Good
No checking account,18,Critical/other existing credits,New car,1530,<100 DM,1–4 years,3,Male: single,None,2,Building society/life insurance,32,Bank,Own,2,Skilled employee/official,1,None,Yes,Bad
No checking account,48,Existing paid duly,Business,3914,Unknown/no savings,1–4 years,4,Male: divorced/separated,None,2,Real estate,38,Bank,Own,1,Skilled employee/official,1,None,Yes,Bad
< 0 DM,12,Existing paid duly,Furniture/equipment,1858,<100 DM,<1 year,4,Female: divorced/separated/married,None,1,Car/other,22,None,Rent,1,Skilled employee/official,1,None,Yes,Good
< 0 DM,18,Existing paid duly,Radio/TV,2600,<100 DM,1–4 years,4,Male: single,None,4,Unknown/no property,65,None,For free,2,Skilled employee/official,1,None,Yes,Bad
No checking account,15,Existing paid duly,Radio/TV,1979,Unknown/no savings,>=7 years,4,Male: single,None,2,Car/other,35,None,Own,1,Skilled employee/official,1,None,Yes,Good
>= 200 DM,6,Existing paid duly,Furniture/equipment,2116,<100 DM,1–4 years,2,Male: single,None,2,Real estate,41,None,Own,1,Skilled employee/official,1,Yes,Yes,Good
0–200 DM,9,All paid,New car,1437,100–500 DM,4–7 years,2,Male: single,None,3,Unknown/no property,29,None,Own,1,Skilled employee/official,1,None,Yes,Bad
No checking account,42,Critical/other existing credits,Furniture/equipment,4042,500–1000 DM,1–4 years,4,Male: single,None,4,Real estate,36,None,Own,2,Skilled employee/official,1,Yes,Yes,Good
No checking account,9,Existing paid duly,Education,3832,Unknown/no savings,>=7 years,1,Male: single,None,4,Real estate,64,None,Own,1,Unskilled resident,1,None,Yes,Good
< 0 DM,24,Existing paid duly,Radio/TV,3660,<100 DM,1–4 years,2,Female: divorced/separated/married,None,4,Car/other,28,None,Own,1,Skilled employee/official,1,None,Yes,Good
< 0 DM,18,All paid,Furniture/equipment,1553,<100 DM,1–4 years,4,Male: single,None,3,Car/other,44,Bank,Own,1,Skilled employee/official,1,None,Yes,Bad
0–200 DM,15,Existing paid duly,Radio/TV,1444,Unknown/no savings,<1 year,4,Male: single,None,1,Building society/life insurance,23,None,Own,1,Skilled employee/official,1,None,Yes,Good
No checking account,9,Existing paid duly,Furniture/equipment,1980,<100 DM,<1 year,2,Female: divorced/separated/married,Co-applicant,2,Car/other,19,None,Rent,2,Skilled employee/official,1,None,Yes,Bad
0–200 DM,24,Existing paid duly,New car,1355,<100 DM,<1 year,3,Female: divorced/separated/married,None,4,Car/other,25,None,Own,1,Unskilled resident,1,Yes,Yes,Bad
No checking account,12,Existing paid duly,Education,1393,<100 DM,>=7 years,4,Male: single,None,4,Building society/life insurance,47,Bank,Own,3,Skilled employee/official,2,Yes,Yes,Good
No checking account,24,Existing paid duly,Radio/TV,1376,500–1000 DM,4–7 years,4,Female: divorced/separated/married,None,1,Car/other,28,None,Own,1,Skilled employee/official,1,None,Yes,Good
No checking account,60,Delay in past,Radio/TV,15653,<100 DM,4–7 years,2,Male: single,None,4,Car/other,21,None,Own,2,Skilled employee/official,1,Yes,Yes,Good
No checking account,12,Existing paid duly,Radio/TV,1493,<100 DM,<1 year,4,Female: divorced/separated/married,None,3,Car/other,34,None,Own,1,Skilled employee/official,2,None,Yes,Good
< 0 DM,42,Delay in past,Radio/TV,4370,<100 DM,4–7 years,3,Male: single,None,2,Building society/life insurance,26,Bank,Own,2,Skilled employee/official,2,Yes,Yes,Bad
< 0 DM,18,Existing paid duly,Education,750,<100 DM,Unemployed,4,Female: divorced/separated/married,None,1,Real estate,27,None,Own,1,Unemployed/unskilled non-resident,1,None,Yes,Bad
0–200 DM,15,Existing paid duly,Repairs,1308,<100 DM,>=7 years,4,Male: single,None,4,Car/other,38,None,Own,2,Unskilled resident,1,None,Yes,Good
No checking account,15,Existing paid duly,Education,4623,100–500 DM,1–4 years,3,Male: single,None,2,Building society/life insurance,40,None,Own,1,Management/self-employed/highly qualified,1,Yes,Yes,Bad
No checking account,24,Critical/other existing credits,Radio/TV,1851,<100 DM,4–7 years,4,Male: married/widowed,Guarantor,2,Car/other,33,None,Own,2,Skilled employee/official,1,Yes,Yes,Good
< 0 DM,18,Critical/other existing credits,Radio/TV,1880,<100 DM,4–7 years,4,Male: married/widowed,None,1,Building society/life insurance,32,None,Own,2,Management/self-employed/highly qualified,1,Yes,Yes,Good
No checking account,36,Delay in past,Business,7980,Unknown/no savings,<1 year,4,Male: single,None,4,Car/other,27,None,Rent,2,Skilled employee/official,1,Yes,Yes,Bad
< 0 DM,30,No credits/all paid,Furniture/equipment,4583,<100 DM,1–4 years,2,Male: divorced/separated,Guarantor,2,Real estate,32,None,Own,2,Skilled employee/official,1,None,Yes,Good
No checking account,12,Existing paid duly,New car,1386,500–1000 DM,1–4 years,2,Female: divorced/separated/married,None,2,Building society/life insurance,26,None,Own,1,Skilled employee/official,1,None,Yes,Bad
>= 200 DM,24,Existing paid duly,New car,947,<100 DM,4–7 years,4,Male: single,None,3,Unknown/no property,38,Bank,For free,1,Skilled employee/official,2,None,Yes,Bad
< 0 DM,12,Existing paid duly,Education,684,<100 DM,1–4 years,4,Male: single,None,4,Car/other,40,None,Rent,1,Unskilled resident,2,None,Yes,Bad
< 0 DM,48,Existing paid duly,Education,7476,<100 DM,4–7 years,4,Male: single,None,1,Unknown/no property,50,None,For free,1,Management/self-employed/highly qualified,1,Yes,Yes,Good
0–200 DM,12,Existing paid duly,Furniture/equipment,1922,<100 DM,1–4 years,4,Male: single,None,2,Building society/life insurance,37,None,Own,1,Unskilled resident,1,None,Yes,Bad
< 0 DM,24,Existing paid duly,New car,2303,<100 DM,>=7 years,4,Male: single,Co-applicant,1,Real estate,45,None,Own,1,Skilled employee/official,1,None,Yes,Bad
0–200 DM,36,Delay in past,New car,8086,100–500 DM,>=7 years,2,Male: single,None,4,Car/other,42,None,Own,4,Management/self-employed/highly qualified,1,Yes,Yes,Bad
No checking account,24,Critical/other existing credits,Used car,2346,<100 DM,4–7 years,4,Male: single,None,3,Car/other,35,None,Own,2,Skilled employee/official,1,Yes,Yes,Good
